Claim Text  Veracity  Category  Published Date
Authorities in Mexico have seized a massive shipment of cocaine headed towards a U.S. government facility.	False	Fake News	2017-11-20
President Trump ordered the execution of several turkeys pardoned by President Obama.	False	Fake News	2017-01-25
The photographer of the infamous Al Franken image said that the moment was staged, that Leeann Tweeden "was playing dead," and that "she wanted him to ‘revive’ her."	False	Fauxtography	2017-11-17
The yolks of flamingo eggs are a bright pink color.	False	Critter Country	2016-07-18
Jennifer Aniston and other actors are starting a "Celebrities For Trump" advocacy group.	False	Fake News	2017-11-20
A new study reporting on the 2015 death of a Colorado infant claims the event was the world’s first documented pot overdose.	False	Medical	2017-11-17
A photograph showing President Obama with a man sleeping on the subway is genuine.	False	Fauxtography	2017-11-17
A photograph shows Ryan Zinke posing with a dead elephant.	False	Fauxtography	2017-11-20
A nineteenth-century British man named Edward Mordrake (also spelled "Mordake") was born with a rare medical condition in the form of a extra face on the back of his head.	False	Medical	2017-11-14
A video shows Muslims "marching for Sharia law" in England.	False	Fauxtography	2017-11-15
The Republican-sponsored Tax Cuts and Jobs Act includes a deduction benefitting golf course owners.	True	Politics	2017-11-17
The United States will reverse restrictions on bringing back legally-hunted elephant trophies.	True	Critter Country	2017-11-16
A video shows a flaming tire rocketing past a car.	False	Fauxtography	2017-11-16
Image depicts Texas church shooting suspect Devin Patrick Kelley at a Bernie Sanders rally.	False	Fauxtography	2017-11-15
An angry mob in Saudi Arabia beheaded "Sophia," a robot recently awarded citizenship.	False	Fake News	2017-11-13
A photograph shows Andre the Giant holding a 12 oz can of beer.	True	Fauxtography	2017-11-13
Famed theoretical physicist Stephen Hawking was accused of sexual misconduct by a former student.	False	Fake News	2017-11-13
Eating six or seven bananas at once can result in death from a lethal potassium overdose.	False	Food	2015-05-10
The California Senate voted 28-8 in favor of exempting lawmakers from the state's gun control regulations.	False	Politics	2017-11-15
An image showing two lynched men originated with the game "Call of Duty: WWII."	True	Fauxtography	2017-11-16
A photograph shows a group of deported veterans in the Mexican border city of Ciudad Juárez.	True	Fauxtography	2017-11-14
Actor Harry Shearer announced in November 2017 that he was leaving 'The Simpsons.'	False	Fake News	2017-11-13
The California NAACP is seeking to replace "The Star-Spangled Banner' as the national anthem of the United States due to concerns over its racist overtones and history.	True	Politics	2017-11-08
An elderly woman trained her 65 cats to steal items, such as jewelry, from her neighbors.	False	Fake News	2017-11-09
A video shows a marijuana grower hiding from law enforcement officers in a corner.	False	Fauxtography	2017-11-14
An Alabama woman claimed the Washington Post tried to pay her to come forward and make accusations of sexual abuse against Roy Moore.	False	Politics	2017-11-13
Baseball players in the 1950s were caught on camera kneeling to protest lynchings in the United States.	False	Sports	2017-11-08
Hoboken Mayor Ravi Bhalla promised to "glorify Islam" after being elected.	False	Politics	2017-11-09
A tradition of celebrating Veterans Day with ravioli dinners was initiated by President Woodrow Wilson in 1919.	False	Holidays	2012-11-07
Facebook has instituted a 'no swearing' campaign and threatened to lock the accounts of users who employ profanity.	False	Computers	2014-03-04
President Donald Trump called Philippines lawmaker Antonio Trillanes IV a "little narco".	False	Fake News	2017-11-09
Lobbyist Tony Podesta has been arrested by United States Marshals in relation to Special Counsel Bob Mueller's Russia probe.	False	Politics	2017-11-07
U.S. Senate candidate from Alabama Roy Moore said that a practicing Muslim should not be allowed to serve in Congress by reason of his faith.	True	Ballot Box	2017-11-10
A San Diego Zoo employee was hospitalized after trying to have sex with an octopus and sustaining heavy damage to his genitalia.	False	Fake News	2017-11-12
Law enforcement agencies recommend that people wash the handle on shopping carts before using them to avoid potential exposure to fentanyl.	False	Medical	2017-11-07
Marshalls employees in Puerto Rico are still being paid despite the damage to stores there caused by Hurricane Maria.	True	Viral Phenomena	2017-11-07
A Planned Parenthood employee was arrested for using tissue from aborted fetuses as Halloween decorations.	False	Fake News	2017-11-08
The Southern Baptist Convention has offered to pay for the funeral costs of any victim of the Sutherland Springs, Texas mass shooting.	True	Religion	2017-11-08
The gunman in a November 2017 mass shooting in Sutherland Springs, Texas was identified as a Muslim convert named "Samir Al-Hajeed."	False	Fake News	2017-11-06
Members of antifa groups attacked an elderly woman and Malia Obama was arrested in connection with the incident.	False	Fake News	2017-11-06
Meteorologists predicted a "devastating snowfall" for parts of Montana in early 2018.	False	Fake News	2017-11-06
President Trump signed legislation in 2017 forbidding the playing of Christmas music before Thanksgiving.	False	Fake News	2017-11-08
Danica Roem is the first trans state legislator in the U.S.	False	Politics	2017-11-08
A New Jersey man named Michael Lombardi killed a hibernating bear.	False	Fauxtography	2017-11-07
Amazon chose San Diego as the site for its second headquarters, a.k.a. "HQ2."	False	Technology	2017-11-06
Iceland has passed a law requiring mental health warnings to be placed on all Bibles.	False	Fake News	2017-11-02
Snapchat, a popular messaging service, announced in November 2017 that it is being closed down by the end of the year.	False	Uncategorized	2017-11-06
President Donald Trump has proposed eliminating funding for a program helping low-income families with their heating bills.	True	Politics	2017-11-02
The Texas church shooter was an atheist and was also on the payroll of the Democratic National Committee.	False	Fake News	2017-11-07
In an interview with a French radio station, Katy Perry revealed a preference for eating human meat.	False	Fake News	2017-11-03
A Baltimore woman who leaked the imminent indictment of Roger Clinton, Jr. was found murdered.	False	Fake News	2017-11-07
The perpetrator of the Sutherland Springs shooting carried an Antifa flag and told churchgoers “this is a communist revolution.”	False	Fake News	2017-11-05
A man arrested for insider trading attributed his financial success to time travel.	False	Fake News	2003-03-28
A Time magazine cover from 1977 with the title “The Big Freeze” is an example of media fearmongering over  “global cooling” in the 1970s.	False	Science	2017-11-02
The Department of Defense has planned communications drills to coincide with "antifa protests" on 4 November 2017.	False	Politics	2017-10-31
Real skeletons were used for a sequence in the horror movie "Poltergeist."	True	Superstition	2017-10-31
In the autumn of 2017, a Florida judge ordered golfer Tiger Woods to undergo 137 paternity tests.	False	Fake News	2017-11-03
Seven "key witnesses" to the 1 October 2017 mass shooting in Las Vegas have suspiciously died in a cover-up.	False	Politics	2017-11-03
A young girl disconnected her grandfather's life support in order to charge her mobile phone.	False	Fake News	2017-11-01
Actor Morgan Freeman said that jailing former presidential candidate Hillary Clinton is the best way to restore public faith in the United States government.	False	Fake News	2017-10-31
NFL coach Bill Belichick reversed his decision to sign quarterback Colin Kaepernick after a phone call with President Trump.	False	Fake News	2017-10-31
Virginia governor Terry McAuliffe legalized recreational and medicinal marijuana across the state as of 1 November 2017.	False	Fake News	2017-11-01
Jared Kushner took a sudden trip to Saudi Arabia to avoid arrest amid Mueller's probe.	False	Politics	2017-10-31
Two of Hillary Clinton employees were arrested for destroying evidence related to a uranium probe.	False	Fake News	2017-11-01
A lawsuit brought by an injured fan revealed that an umpire blew an important call in a 1908 baseball game.	False	Sports	2008-09-28
A video shows a woman using her face as a paddle during a game of table tennis.	False	Fauxtography	2017-10-30
Fox News didn't report breaking political news about the indictment of Paul Manafort and instead ran coverage of controversy involving a cheeseburger emoji.	False	Media Matters	2017-10-30
Jared Kushner scrubbed his Twitter account shortly after Special Counsel Robert S. Mueller III revealed charges against three former Trump campaign officials in October 2017.	False	Politics	2017-10-30
John Wayne said that he believed in white supremacy during an interview with "Playboy" magazine.	True	Politics	2017-01-26
British pub chain JD Wetherspoon banned remembrance poppies due to "multiculturalism".	False	Politics	2017-10-26
In October 2017, Sandra Bullock defended President Donald Trump and urged Hillary Clinton to leave the United States.	False	Fake News	2017-10-27
A picture shows Vice President Joe Biden groping Stephanie Carter, wife of former Defense Secretary Ash Carter, during a government ceremony.	False	Fauxtography	2017-10-27
Hundreds of papers published in 2017 prove that global warming is a myth.	False	Science	2017-10-26
Article contrasts disparate sentences given to Roy Brown and Paul R. Allen.	True	Crime	2011-10-20
A teenage schoolgirl in Texas became pregnant through a flu vaccination.	False	Fake News	2015-10-05
A video shows a ghost haunting a hallway at a school in Ireland.	False	Fauxtography	2017-10-26
The boots on Neil Armstrong's spacesuit don't match up with the "footprints" supposedly he left on the moon.	False	Science	2016-08-16
U.S. Army Sgt. La David Johnson was a "defector."	False	Uncategorized	2017-10-26
Baseball's championship competition is known as the "World Series" because it was originally sponsored by the	False	Sports	2001-07-12
Photograph shows a masked partygoer who killed seven people on Halloween 1962.	False	Horrors	2014-10-19
A 425-pound Iowa teacher was suspended after pinning a student down and "farting in his mouth."	False	Fake News	2017-10-26
An unflattering photograph of President Trump is real.	False	Fauxtography	2017-10-26
The Washington Redskins were stranded in their locker rooms overnight by Philadelphia police angry that players "took a knee" during a game against the Eagles on 23 October 2017.	False	Fake News	2017-10-26
Photographs show a 2011 NFL Veterans Day tribute that ESPN omitted from their pre-game coverage.	True	Fauxtography	2012-01-26
As of October 2017, would-be recipients of a repair grant from Dickinson, Texas, must promise not to boycott Israel.	True	Politics	2017-10-24
A photograph shows insects embedded in a dog's mouth.	True	Fauxtography	2015-11-21
Four black players sent the NFL an "ultimatum" that included demands that the league force "white fans" into community activism.	False	Sports	2017-10-24
A catastrophic fire aboard the aircraft carrier USS Forrestal in 1967 that killed 134 sailors and injured 161 was caused by reckless behavior on the part of then-Navy pilot John McCain.	False	Military	2017-10-24
An image shows Jimi Hendrix covered in tattoos while riding a dune buggy.	False	Fauxtography	2017-10-24
PETA is releasing Lone Star Ticks into the northeastern United States in order to give people meat allergies.	False	Medical	2017-10-24
NFL players protesting police brutality are doing so because they have many children with different women, leading their families into lives of crime.	False	Viral Phenomena	2017-10-24
A photograph shows an owl experiencing an orgasm.	False	Fauxtography	2017-11-07
Gold Star widow Myeshia Johnson criticized Rep. Frederica Wilson on Facebook for misrepresenting the content of a condolence call from President Donald Trump.	False	Politics	2017-10-21
Film producer Harvey Weinstein cut a deal with the FBI to turn over "names of elite pedophiles in Hollywood and Washington, D.C."	False	Fake News	2017-10-21
Five-year-old Anibe Alexandra Odoma was taken from her family's home in Houston.	False	Uncategorized	2017-10-23
Director Michael Moore was accused of sexual harassment by a 16-year-old film extra.	False	Fake News	2017-10-23
Representative Frederica Wilson has never supported a bill intended to help military veterans.	False	Politics	2017-10-23
A photograph shows Sarah Huckabee Sanders wearing KKK robes for Halloween in 1993.	False	Fauxtography	2017-10-23
Illegal immigrants were arrested for starting the October 2017 California wildfires.	False	Fake News	2017-10-20
Images show a baby half-human, half-lion hybrid that was found in Indonesia.	False	Fauxtography	2017-10-20
The Tampa Bay Lightning fired J.T. Brown for raising his fist in protest during the national anthem.	False	Sports	2017-10-20
Police warned citizens to "stay inside" on Halloween night because of information that "creepy clowns" planned a "purge night."	False	Fake News	2017-10-20
An image shows President Trump getting a spray tan in the oval office.	False	Fauxtography	2017-10-18
Every time a particular message is shared, a company will donate money towards the medical care of a 14-year-old boy who was shot by his stepfather while he was defending his 2-year-old sister from rape.	False	Inboxer Rebellion	2010-02-24
A video shows a "fake" Melania Trump standing next to the president.	False	Fauxtography	2017-10-19
Mandalay Bay security guard Jesus Campos worked in the Clinton Foundation's Las Vegas office before the mass shooting.	False	Fake News	2017-10-19
Grisly photograph shows the Buckley family, whose children beheaded their mother with an axe on Halloween.	False	Fauxtography	2013-06-25
NASA has recently confirmed the existence of Earth’s second moon.	False	Science	2017-10-16
An image shows a lawmaker's underwear as she leans over a desk.	False	Fauxtography	2017-10-19
A photograph shows a coyote being given a bath after it was mistaken by a dog by an Ohio family in October 2017.	False	Fauxtography	2017-10-17
Mandalay Bay Hotel worker Chad Nishimura "vanished" after giving a reporter a description of the suspected Las Vegas gunman that clashed with the "official narrative."	False	Fake News	2017-10-16
As of October 2017, Ireland plans to reduce its rate of corporation tax to 8 percent.	False	Politics	2017-10-17
Mandalay Bay security guard Jesus Campos is "missing."	False	Uncategorized	2017-10-16
"Nightmare on Elm Street" character Freddy Krueger was based on a real life serial murderer.	False	Fauxtography	2017-10-17
A pro football fan sat on the United States flag while wearing a shirt that read: "I stand for the national anthem."	True	Sports	2017-10-17
Bernie Sanders wrote an essay in which a woman fantasizes about being "raped by three men simultaneously."	True	Politicians	2015-09-22
Barack Obama said he would replace the U.S. national anthem with the song 'I'd Like to Teach the World to Sing.'	False	Fake News	2008-02-15
A "creepy clown" was arrested after massacring 18 individuals in a haunted house attraction.	False	Fake News	2016-10-27
The town of Ashley, Kansas, and its entire population disappeared after an earthquake in 1952.	False	Horrors	2015-04-21
Donald Trump's Las Vegas property is not a casino because the Nevada Gaming Commission refused Trump a gaming license and deemed him insufficiently "trustworthy."	False	Politics	2016-02-29
A photograph shows a woman who was killed by a frozen shaft of urine that fell from a plane.	False	Fauxtography	2017-10-16
In 2017, Halloween will fall on Friday the 13th for the first time in 666 years.	False	Holidays	2014-10-08
President Trump mocked Prime Minister Trudeau for celebrating Thanksgiving six weeks early.	False	Fake News	2017-10-13
The Mississippi River is "going dry" as it drains into a fault line.	False	Science	2017-10-14
The phrase "a shot of whiskey" originated in the Old West, as a single bullet was worth roughly the same as the drink and often substituted for currency.	False	Language	2017-10-14
Law enforcement agents have announced that "antifa" is planning extended violent unrest or civil war beginning on 4 November 2017.	False	Politics	2017-10-10
An image shows Lebron James wearing a "we march, y'all mad" shirt.	False	Fauxtography	2017-10-10
As of October 2017, there was an "epidemic of child abduction" in the state of Kansas.	False	Crime	2017-10-13
Hugh Hefner paid $75,000 to be interred next to Marilyn Monroe in a Los Angeles cemetery.	True	Entertainment	2017-10-10
Image depicts "attitude adjustment" and "smile therapy" forced upon American housewives in the 1930s institutionalized for "not taking care of themselves" and acting "depressed."	False	Fauxtography	2017-10-12
A video shows a busy intersection where accidents are narrowly averted.	False	Fauxtography	2017-10-11
The hotel security guard wounded in the Las Vegas mass shooting has been arrested as an accomplice to that event.	False	Fake News	2017-10-13
In October 2017, Colin Kaepernick told a CBS reporter he would stand for the national atnthem if he were signed by an NFL team.	False	Sports	2017-10-11
The Trump International Hotel in Washington D.C. handed out flyers promoting an anti-CNN petition to guests at check-in.	False	Politics	2017-10-12
The U.S. government banned the sale of lawn darts in the aftermath of a child's death.	True	Viral Phenomena	2017-10-09
New research from Arizona State University suggests that a catastrophic super-eruption from the Yellowstone caldera could occur sooner than previously thought.	False	Science	2017-10-12
A principal in Springfield, Ohio, was arrested for defecating on his desk during the Pledge of Allegiance.	False	Fake News	2017-10-10
Acclaimed actor Morgan Freeman died in October 2017 at the age of 80.	False	Fake News	2017-10-10
The deaths of John Beilman and his daughter were linked to the Las Vegas mass shooting via a device found in Stephen Paddock's hotel room.	False	Fake News	2017-10-10
An image contrasts radically different gun laws and homicide rates in Honduras and Switzerland.	False	Politics	2015-10-05
A Detroit firefighter was fired for behavior deemed offensive and racially insensitive after bringing a watermelon to work on his first day on the job.	True	Racial Rumors	2017-10-09
Actress Judi Dench has Havey Weinstein's initials tattooed on her butt.	False	Entertainment	2017-10-09
Statistics demonstrate that crime rates in Australia have increased substantially since the government there instituted a gun buy-back program in 1997.	False	Politics	2001-08-20
Mandalay Bay security guard Jesus Campos was an "accomplice" to Las Vegas Strip mass shooter Stephen Paddock.	False	Uncategorized	2017-10-07
In September 2017, Tennessee businessman and CEO of Hardwick Clothes Allan Jones withdrew all NFL-related advertising for his companies, in response to "unpatriotic" national anthem protests.	True	Sports	2017-10-05
A photograph shows a foot after "Cinderella Surgery."	False	Fauxtography	2017-10-10
Michelle Bachmann said of those killed in Las Vegas shootings: "I'm not blaming the victims, but it is their fault."	False	Questionable Quotes	2017-10-06
An Antifa group in Melbourne, Australia claimed responsibility for the September 2017 Las Vegas massacre.	False	Uncategorized	2017-10-04
Former President Barack Obama's stylist revealed to a conservative web site that he caught Obama in the middle of a gay tryst.	False	Politics	2017-10-03
The man accused of opening fire on hundreds of people in a Las Vegas casino in October 2017 was spotted at an anti-Trump protest two months earlier.	False	Fauxtography	2017-10-03
The flight crew of the New Orleans Saints' team plane decided to "take a knee" and refuse to fly the team to their destination in protest of players kneeling during the national anthem.	False	Fake News	2017-10-03
Celebrity chef Gordon Ramsay directed his entire staff to "take a knee" and refuse service to Miami Dolphins players over national anthem protests against police brutality.	False	Fake News	2017-10-03
A photograph shows Donald Trump, Muhammad Ali, and Rosa Parks after receiving the Ellis Island Medal of Honor in 1986.	True	Politicians	2016-09-05
Measurements indicating that 2017 had relatively more sea ice in the Arctic and less melting of glacial ice in Greenland casts scientific doubt on the reality of global warming.	False	Science	2017-10-04
A second gunman fired at a crowd from the fourth floor of the Mandalay Bay Resort and Casino during the mass shooting in Las Vegas.	False	Uncategorized	2017-10-03
In September 2017, Nike cut ties with the Dallas Cowboys over national anthem protests.	False	Sports	2017-10-02
In September 2017, truck drivers' unions in Puerto Rico went on strike and refused to take part in relief efforts after a series of hurricanes.	False	Politics	2017-10-02
Las Vegas shooter Stephen Paddock died in 2013.	False	Crime	2017-10-04
Cinderella Castle in Walt Disney World in Orlando, Florida was constructed such that it can be partially or wholly disassembled in the event of a hurricane.	False	Disney	2017-10-02
The Hollywood Reporter published a column in 1937 criticizing actors for speaking out against Nazi Germany.	True	Politics	2017-10-01
There are currently 871 convicted felons playing for the NFL.	False	Politics	2017-10-02
The Trump administration is making Puerto Ricans sign promissory notes and surrender passports before evacuating them or rendering aid.	False	Hurricane Katrina	2017-09-28
The FBI seized over 3,000 penises during a September 2017 raid of a morgue employee's home.	False	Fake News	2017-09-28
A photograph shows the Army football team kneeling in protest during the national anthem.	False	Fauxtography	2017-10-02
Press Secretary Sarah Sanders said that President Trump's tax returns were being kept "underneath President Obama’s college records" and "his passport application" where nobody would find them.	False	Politics	2017-09-28
A newspaper photograph shows a pregnant, cigarette-smoking woman worrying about the effect of construction noise on her unborn child.	True	Fauxtography	2004-10-01
Some horses can grow mustaches.	True	Science	2017-09-28
A photograph shows a Seattle Seahawks player burning an American flag.	False	Fauxtography	2017-09-29
Budweiser stopped advertising with the NFL due to the controversy over players kneeling in protest during the national anthem.	False	Politics	2017-09-26
U.S. Army veteran Nate Boyer convinced Colin Kaepernick to kneel, rather than sit, while protesting police brutality during the national anthem.	True	Uncategorized	2017-09-28
Fentanyl-laced marijuana use is a real and growing concern in the United States.	False	Medical	2017-09-26
Jared Kushner registered to vote as a woman in New York.	False	Politics	2017-09-28
The Guggenheim Museum planned to host a Chinese art exhibition that included three installations condemned as cruel to animals.	True	Critter Country	2017-09-26
In 2013, Donald Trump criticized President Obama for interfering in an NFL team issue.	True	Questionable Quotes	2017-09-26
Pittsburgh Steelers coach Mike Tomlin "ripped" one of his players, Alejandro Villanueva, for standing near the sidelines during the playing of the national anthem before an NFL game.	False	Uncategorized	2017-09-26
The Clinton Foundation donated a total of $7.1 million to anti-fascist groups, including during the 2016 presidential election campaign.	False	Politics	2017-09-27
The actor Nora Kirkpatrick "played" a victim as part of a fake terrorist bomb attack at Parsons Green in London.	False	Politics	2017-09-22
Thanks to lobbying, Florida homeowners were unable to use solar panels during Irma to generate electricity.	False	Uncategorized	2017-09-25
The official logo of the Alabama Democratic Party, adopted in 1904 and not replaced until 1966, featured an illustration of a crowing rooster and the slogan "White Supremacy, For the RIght."	True	Politics	2017-09-25
A photograph shows Green Bay Packers quarterback Aaron Rodgers holding a "Stand for the flag, Kneel for the cross" shirt.	False	Fauxtography	2017-09-25
The Department of Health and Human Services has scheduled web site maintenance for Healthcare.gov on most Sundays during Obamacare open enrollment.	True	Politics	2017-09-25
Fox Sports announced that they would no longer broadcast NFL games until teams and players apologized to President Trump for kneeling during the national anthem.	False	Fake News	2017-09-26
There is verifiable evidence that a large earthquake will strike the Indian Ocean and cause a deadly tsunami before the end of 2017.	False	Science	2017-09-27
Donald Trump failed to  place his hand over his heart during the playing of the U.S. national anthem at the beginning of a GOP debate.	False	Politics	2015-12-20
A photograph shows a protester holding a "No mother should have to fear for her son's life every time he robs a store" sign in front of a fire station in Ferguson, Missouri.	False	Fauxtography	2014-12-02
An inaudible sonic weapon adequately explains the range of symptoms experienced by diplomats suffering from “health attacks” in Cuba.	False	Science	2017-09-25
The NFL has fined Pittsburgh Steelers players $1 million each for staying in their locker room during the national anthem.	False	Fake News	2017-09-24
A July 1990 comic strip in Heavy Metal magazine featured a controversial wall in New York City, built by Donald Trump, and a populist "rise to power" by the future president.	True	Politics	2017-09-22
Melania Trump plagiarized her 2017 speech at the United Nations from a speech delivered by Michelle Obama in 2014.	False	Fake News	2017-09-23
Electronic benefits recipients in Iowa can no longer purchase soda and candy as of 1 October 2017.	False	Fake News	2017-09-21
Ashley Judd announced that she was moving to the Middle East, "where women have more rights".	False	Entertainment	2017-09-21
In September 2017, the Cleveland Browns, Dallas Cowboys and Pittsburgh Steelers refunded season tickets in light of protests by players during the National Anthem.	False	Politics	2017-09-25
A video shows a group of unidentified flying objects over Oklahoma City.	False	Viral Phenomena	2017-09-22
A photograph shows a 30-foot wave from Hurricane Jose hitting Jennette's Pier in North Carolina.	False	Fauxtography	2017-09-19
Prior to condemning flag burning in November 2016, Donald Trump endorsed the act in February 2011.	False	Fauxtography	2016-11-29
On 11 September 2017, a worker at a Buffalo Wild Wings in Eastvale, California, turned down the volume on the national anthem before an NFL game, saying it was "divisive."	True	Business	2017-09-20
A pedophile named William Smith was decapitated and left on a judge's doorstep in September 2017.	False	Fake News	2017-09-22
Ben Carson told a hurricane victim that "homelessness is a gift from heaven" and a sign that God wanted them to be homeless.	False	Viral Phenomena	2017-09-19
Instructions explain how to block Facebook users who are following you without your knowledge.	False	Technology	2017-01-05
President Trump and Congress abolished child support as of 2018.	False	Fake News	2017-09-20
Jeff Goldblum criticized Mark Zuckerberg and Elon Musk for being capitalists during an MTV interview.	False	Entertainment	2017-09-20
Black and white caterpillars can cause severe allergic reactions in some people who touch them.	True	Horrors	2011-08-10
Dollar General, Family Dollar, or Dollar Tree is closing all stores.	False	Fake News	2017-09-20
Hillary Clinton made fun of hurricane Irma victims and called them "Florida hillbillies."	False	Uncategorized	2017-09-20
An Oklahoma City McDonald's outlet was caught with horse meat and human meat in their freezers.	False	Media Matters	2014-04-07
A hapless man somehow got his head stuck in his wife's vagina during sex, resulting in the couple's hospitalization.	False	Fake News	2017-09-18
Director Victor Salva was convicted of child molestation.	True	Uncategorized	2017-09-18
California's governor is allowing people who are HIV-positive donate blood	False	Uncategorized	2017-09-18
A video showing several destructive tornadoes was purchased by National Geographic for $1 million.	False	Fauxtography	2017-09-15
The United States Secret Service arrested Alec Baldwin for threatening President Donald Trump at the 2017 Emmy Awards.	False	Fake News	2017-09-18
A dog named Daisy rescued hundreds of people from the damaged World Trade Center towers on 9/11.	False	September 11th	2001-11-06
Homeowners affected by hurricanes are allowed, under certain circumstances, to delay their mortgage payments.	True	Uncategorized	2017-09-15
NASA has warned of imminent disaster due to the trajectory of another planet that will  intersect Earth's orbit.	False	Fake News	2016-07-05
"Anne Marie Scott", daughter of U.S. Senator "James Montgomery", was charged with a series of murders.	False	Fake News	2017-09-14
Walt Disney announced that they were permanently closing the Fort Wilderness Campgrounds due to damage from Hurricane Irma.	False	Fake News	2017-09-14
The makers of a television commercial for a car company were so "freaked out" by an apparent "ghostly" apparition in the raw footage that the ad was never released.	False	Fauxtography	2017-09-13
In September 2017, the makers of Reese's Peanut Butter Cups announced they were discontinuing the candy and withdrawing it from circulation.	False	Fake News	2017-09-14
Planned Parenthood and the Satanic Temple have worked together to oppose laws restricting abortion rights in Missouri.	False	Religion	2017-09-14
A crude sketch of a phallus could be seen on the inside of a log during an episode of	True	Fauxtography	2017-09-15
A photograph shows a boulder containing remarkably well-preserved, larger-than-human seahorse fossil.	False	Fauxtography	2017-09-15
A mutation known Alexandria's Genesis turns people into 'perfect human beings' who exhibit purple eyes six months after birth.	False	Viral Phenomena	2015-02-06
A criminology textbook used an image of Brock Turner to illustrate an entry on rape.	True	Fauxtography	2017-09-12
A woman died at a movie theater while watching the movie	False	Fake News	2017-09-12
High diabetes rates among African-Americans are caused by a genocidal government plot to ship weaponized radioactive milk to black communities.	False	Racial Rumors	2017-09-15
Crabs swarmed onto a Florida road after Hurricane Irma.	False	Viral Phenomena	2017-09-13
A photograph shows actors Heath Ledger and Cillian Murphy posing together.	False	Fauxtography	2017-09-13
Stan Lee fired Jennifer Lawrence from an upcoming film due to his belief she disrespected President Trump.	False	Uncategorized	2017-09-12
A photograph shows a meal served by the Red Cross to victims of Hurricane Harvey in Texas.	False	Fauxtography	2017-09-13
A video shows three sharks in an area of Miami, Florida that was flooded by Hurricane Irma.	False	Fauxtography	2017-09-12
A meme accurately reflects Abraham Lincoln's and Robert E. Lee's views on slavery.	False	History	2017-09-11
Actress Jennifer Lawrence blamed recent hurricanes in the U.S. on President Trump.	False	Uncategorized	2017-09-11
An animated GIF shows a wind-blown stop sign hitting a weather reporter.	False	Fauxtography	2017-09-11
U.S. naval officer's letter describes a  'manning the rails' ceremony performed by a German destroyer.	True	September 11th	2001-11-09
The Muslim mayor of "Blairsville, Michigan" has outlawed Christmas within the city's limits.	False	Uncategorized	2017-09-13
In August 2017, a "leading toy company" produced a toy version of an electronic cigarette, aimed at children.	False	Business	2017-09-11
Hurricane Irma created a cloud formation that resembled an ominous face.	False	Viral Phenomena	2017-09-11
The 2005 movie	False	Science	2017-09-08
President Barack Obama put a threatening message in a letter he left for incoming President Donald Trump.	False	Fake News	2017-09-11
On 11 September 2017, Florida Governor Rick Scott was taken to hospital after being injured during a Hurricane Irma cleanup operation.	False	Fake News	2017-09-11
A video shows Hurricane Irma hitting Miami International Airport.	False	Fauxtography	2017-09-11
A video shows Hurricane Irma destroying buildings in Antigua and Barbuda in September 2017.	False	Fauxtography	2017-09-08
Dishwashers are a great place to store valuable documents and photographs during hurricanes or flooding.	False	Uncategorized	2017-09-08
The FireChat app can send messages without any connection to the Internet.	True	Technology	2017-09-07
In September 2017, the United States Treasury announced plans to produce a new $20 bill featuring the face of Confederate general Robert E. Lee.	False	Fake News	2017-09-07
Professor Michio Kaku said Hurricanes Harvey and Irma were caused by the United States Government modifying the weather.	False	Hurricane Katrina	2017-09-11
The reaction between metallic mercury and aluminum, which produces a dramatic chain reaction popular on YouTube science channels, is evidence that vaccines are not safe.	False	Medical	2017-09-07
Photograph captures wildlife fleeing a fire in Bitterroot Forest, Montana.	True	Fauxtography	2003-09-01
In the aftermath of Hurricane Harvey, FEMA said they would only give aid to victims if they had received (unspecified) vaccinations.	False	Fake News	2017-09-05
Hurricane Irma had the effect of drawing water away from stretches of coastline in Florida and the Bahamas.	True	Science	2017-09-11
The National Oceanic and Atmospheric Administration reported that Hurricane Irma had airlifted several sharks.	False	Fauxtography	2017-09-07
The Trump administration announced it would be spending 90 percent less on advertising a shortened open enrollment period for Obamacare in 2018.	True	Politics	2017-09-06
An image depicts a grieving obstetrician after his patient gave birth to a long-awaited baby and died.	False	Glurge Gallery	2017-09-06
In September 2017, U.S. Virgin Islands Governor Kenneth Mapp signed an executive order empowering the National Guard to seize weapons and other private property.	True	Politics	2017-09-07
Flooding caused by Hurricane Harvey exposed a weapons cache hidden by former President Barack Obama.	False	Military	2017-09-06
A Florida teacher gave 6th grade students an explicit sex ed lesson involving a strap-on sex toy to satisfy Common Core requirements.	False	Fake News	2014-09-15
The American Red Cross is charging victims of Hurricane Harvey for their services.	False	Viral Phenomena	2017-09-01
Joel Osteen's Houston megachurch provided shelter only to the church's top financial contributors	False	Fake News	2017-09-03
During a speech in which he declared Jesus Christ his "redeemer," Muslim leader Louis Farrakhan gave indications that he was breaking with Islam in favor of following Christianity.	False	Religion	2017-09-04
Singer Celine Dion said that she can't even look at an American flag because she hates the country.	False	Fake News	2017-09-07
A photograph shows a group of people golfing as a forest fire rages in the background.	True	Fauxtography	2017-09-08
Members of a Houston mosque barricaded themselves inside and refused to help people evacuating Hurricane Harvey.	False	Viral Phenomena	2017-09-04
A major Hepatitis A outbreak in San Diego has been pinned on undocumented immigrants there.	False	Medical	2017-09-05
The Zello walkie-talkie cellphone app can be used without the internet.	False	Technology	2017-09-06
81-year-old Arthur Hickenlooper competed on the show "American Ninja Warrior."	False	Fauxtography	2017-09-06
